group_key,en_label,zh-HK_label,zh-CN_label,en_value,zh-HK_value,zh-CN_value
Playgroups,Playgroups,Playgroups,Playgroups,"$6,000/ 12 sessions (1 hour, 30 mins English + 30 mins PTH)","$6,000/ 12 sessions (1 hour, 30 mins English + 30 mins PTH)","$6,000/ 12 sessions (1 hour, 30 mins English + 30 mins PTH)"
English,English,English,English,"$5,200/ 8 sessions (45mins) $7,500 - $8,500/ 10 sessions (1 hour)","$5,200/ 8 sessions (45mins) $7,500 - $8,500/ 10 sessions (1 hour)","$5,200/ 8 sessions (45mins) $7,500 - $8,500/ 10 sessions (1 hour)"
Clevercal (Math),Clevercal (Math),Clevercal (Math),Clevercal (Math),"$3,500 - $4,500/ 10 sessions (45mins) $4,500 - $6,000/ 10 sessions (1 hour)","$3,500 - $4,500/ 10 sessions (45mins) $4,500 - $6,000/ 10 sessions (1 hour)","$3,500 - $4,500/ 10 sessions (45mins) $4,500 - $6,000/ 10 sessions (1 hour)"
Alludio (Games),Alludio (Games),Alludio (Games),Alludio (Games),"$3,200/ 8 sessions (50 mins)","$3,200/ 8 sessions (50 mins)","$3,200/ 8 sessions (50 mins)"
中文,中文,中文,中文,"$3,200/ 8 sessions (45 mins) $4,500/ 10 sessions (1hour)","$3,200/ 8 sessions (45 mins) $4,500/ 10 sessions (1hour)","$3,200/ 8 sessions (45 mins) $4,500/ 10 sessions (1hour)"
PrivateClass,Private class 私人課,Private class 私人課,Private class 私人課,Please contact our staff for details,請跟我們的職員查詢,請跟我們的職員查詢
