course_key,en,zh-HK,zh-CN
Playgroups,18 months – 28 months (18 months - PN),18 months – 28 months (18 months - PN),18 months – 28 months (18 months - PN)
Phonics,28 months – 5 years old (PN - K3),28 months – 5 years old (PN - K3),28 months – 5 years old (PN - K3)
LanguageArts,6 years old – 12 years old (P1 - P6),6 years old – 12 years old (P1 - P6),6 years old – 12 years old (P1 - P6)
Clevercal,3 years old – 12 years old (K1 – P6),3 years old – 12 years old (K1 – P6),3 years old – 12 years old (K1 – P6)
Alludio,3 years old – 6 years old (K1 – K3),3 years old – 6 years old (K1 – K3),3 years old – 6 years old (K1 – K3)
ToddlerCharRecognition,28 months – 5 years old (PN – K3),28 months – 5 years old (PN – K3),28 months – 5 years old (PN – K3)
MandarinPinyin,4 years old/ up (K2/ up),4 years old/ up (K2/ up),4 years old/ up (K2/ up)
ChineseLanguageArts,6 years old – 12 years old (P1 - P6),6 years old – 12 years old (P1 - P6),6 years old – 12 years old (P1 - P6)
PrivateClass,Please contact our staff for details,請跟我們的職員查詢,請跟我們的職員查詢
