key,en,zh-HK,zh-CN
TeacherNativeSpeaker,All our teachers are qualified bilingual teachers.,我們所有的老師都是合格的雙語教師。,我們所有的老師都是合格的雙語教師。
PublicHolidaySchedule,We closed on Public Holiday.,香港紅色假期我們是放假的，不開放。,香港紅色假期我們是放假的，不開放。
OtherCenters,"Sorry, we don’t have.",沒有。,沒有。
WeatherPolicy,"We do not hold classes when the Black Rain Storm signal or Typhoon signal no. 8 or higher are hoisted. We still open when Red Rain Storm signal or Typhoon signal no. 1 and 3 are hoisted. (However, we will also use our discretion to decide, and will notify parents if we are to close under these situations)",黑色暴雨警告訊號或八號或以上颱風訊號懸掛時，學校將停課。紅色暴雨警告訊號或一號和三號颱風訊號懸掛時，學校照常開放。（但我們也將酌情決定，並在這些情況下通知家長）,黑色暴雨警告訊號或八號或以上颱風訊號懸掛時，學校將停課。紅色暴雨警告訊號或一號和三號颱風訊號懸掛時，學校照常開放。（但我們也將酌情決定，並在這些情況下通知家長）
