category_key,en_label,zh-HK_label,zh-CN_label,en_value,zh-HK_value,zh-CN_value
中英數課程,中英數課程,中英數課程,中英數課程,"Small group class size, 4-6 students per class",小班教學，每班 4-6 人,小班教學，每班 4-6 人
English Language Arts,English Language Arts,English Language Arts,English Language Arts,"Small group class size, maximum 8 students",小班教學，最多 8 人,小班教學，最多 8 人
