course_key,en,zh-HK,zh-CN
Playgroups,"Once a week, 1 hour per session, English 30mins + PTH 30mins","每週 1 次, 每堂 1 小時, English 30mins + PTH 30mins","每周 1 次, 每堂 1 小时, English 30mins + PTH 30mins"
Phonics,"Once a week, 45 minutes/1 hour per session","每週 1 次, 每堂 45 分鐘/ 1 小時","每周 1 次, 每堂 45 分钟/ 1 小时"
LanguageArts,"Once a week, 1 hour per session","每週 1 次, 每堂 1 小時","每周 1 次, 每堂 1 小时"
Clevercal,"Once a week, 45 minutes/1 hour per session","每週 1 次, 每堂 45 分鐘/ 1 小時","每周 1 次, 每堂 45 分钟/ 1 小时"
Alludio,"Once a week, 50 mins per session","每週 1 次, 每堂 50 分鐘","每周 1 次, 每堂 50 分钟"
ToddlerCharRecognition,"Once a week, 45 mins per session","每週 1 次, 每堂 45 分鐘","每周 1 次, 每堂 45 分钟"
MandarinPinyin,"Once a week, 1 hour per session","每週 1 次, 每堂 1 小時","每周 1 次, 每堂 1 小时"
ChineseLanguageArts,"Once a week, 1 hour per session","每週 1 次, 每堂 1 小時","每周 1 次, 每堂 1 小时"
PrivateClass,Please contact our staff for details,請跟我們的職員查詢,請跟我們的職員查詢
